filename,true_label,predicted_label,prob_cls0,prob_cls1,prob_cls2,prob_cls3,prob_cls4,prob_cls5,prob_cls6,prob_cls7,prob_cls8,prob_cls9,prob_cls10,prob_cls11,prob_cls12,prob_cls13,prob_cls14,prob_cls15,prob_cls16,prob_cls17,prob_cls18,prob_cls19,prob_cls20,prob_cls21,prob_cls22
Vascular Tumors/vascular-anomaly-6.jpg,20,20,0.01146698,0.01264191,0.01514435,0.08374023,0.01889038,0.19128418,0.00687408,0.01739502,0.01242828,0.00544739,0.09454346,0.01634216,0.01187897,0.01119232,0.06402588,0.00759506,0.01008606,0.11590576,0.00551605,0.00312614,0.25488281,0.00441742,0.02517700
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratoses-ruff-139.jpg,16,9,0.00637436,0.00499344,0.00313187,0.00352669,0.00415802,0.00366974,0.00575638,0.32836914,0.00385857,0.50292969,0.00917816,0.01206207,0.04702759,0.00419998,0.01194000,0.00531387,0.01644897,0.00408554,0.00457001,0.00496674,0.00387955,0.00523758,0.00447083
Vasculitis Photos/atrophy-blanche-4.jpg,21,21,0.00743866,0.00862885,0.00455475,0.00528336,0.00287056,0.00383186,0.00485992,0.00801086,0.01091766,0.00631714,0.00600433,0.00942230,0.00502777,0.00516510,0.00572205,0.01137543,0.01025391,0.02174377,0.01800537,0.00588226,0.00669098,0.82861328,0.00329399
Light Diseases and Disorders of Pigmentation/vitiligo-5.jpg,9,9,0.00482178,0.01556396,0.00598526,0.00521469,0.01065063,0.01834106,0.00450516,0.00474167,0.00323677,0.81689453,0.00290298,0.00971222,0.00391006,0.00481033,0.00534821,0.00335884,0.00577164,0.00385094,0.00798035,0.01148224,0.01661682,0.02279663,0.01161957
Cellulitis Impetigo and other Bacterial Infections/Pseudomonas-Folliculitis-0018.jpg,4,22,0.00793457,0.02098083,0.01150513,0.01611328,0.01525879,0.02165222,0.00482178,0.02488708,0.02696228,0.01377869,0.00532913,0.00783539,0.02056885,0.00899506,0.00674438,0.21972656,0.07043457,0.01463318,0.05566406,0.00593567,0.00356102,0.07104492,0.34570312
Atopic Dermatitis Photos/KeratosisIMG004-GP3.jpg,2,14,0.00387383,0.00953674,0.00426865,0.00216866,0.00454330,0.00317955,0.00341988,0.00431824,0.00334930,0.00819397,0.00422287,0.00404739,0.04263306,0.00570679,0.85058594,0.00590515,0.00225258,0.00322342,0.01093292,0.00343132,0.00801086,0.00521088,0.00683594
Warts Molluscum and other Viral Infections/herpes-simplex-33.jpg,22,22,0.01397705,0.00401688,0.00500107,0.00894928,0.00276566,0.00693130,0.00435257,0.00597000,0.00195312,0.00817871,0.00303459,0.00399399,0.00713348,0.00463867,0.00638962,0.00350189,0.00977325,0.00193024,0.00400925,0.00493622,0.00523376,0.01882935,0.86474609
Psoriasis pictures Lichen Planus and related diseases/pityriasis-rubra-pilaris-30.jpg,14,17,0.01617432,0.01240540,0.00382614,0.05380249,0.00533676,0.02891541,0.03213501,0.01344299,0.00363350,0.00313568,0.00768661,0.00700760,0.01499176,0.00937653,0.29467773,0.00479889,0.00829315,0.41967773,0.01405334,0.00516510,0.01846313,0.00278664,0.02038574
Melanoma Skin Cancer Nevi and Moles/halo-nevus-27.jpg,11,11,0.00254250,0.01152039,0.00221825,0.00268173,0.00484085,0.03167725,0.00178242,0.00703049,0.00426102,0.00672150,0.00409698,0.86425781,0.00367737,0.00281906,0.00598145,0.00280571,0.00490189,0.00360680,0.00341034,0.00491333,0.00674438,0.01176453,0.00584793
Nail Fungus and other Nail Disease/lichen-planus-118.jpg,12,14,0.01479340,0.03857422,0.05368042,0.00339508,0.03973389,0.05343628,0.00389671,0.01223755,0.00228691,0.01785278,0.00470734,0.00437927,0.18579102,0.00963593,0.42773438,0.00408936,0.05862427,0.00541687,0.00661850,0.00550079,0.00816345,0.03265381,0.00678635
Scabies Lyme Disease and other Infestations and Bites/myiasis-2.jpg,15,1,0.01541138,0.45922852,0.00352478,0.00733566,0.03372192,0.02514648,0.00508499,0.00234222,0.03277588,0.00321579,0.00249863,0.00677109,0.00518417,0.00260544,0.01293945,0.01149750,0.03796387,0.00238991,0.00609970,0.00195312,0.00743484,0.00333977,0.31152344
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-20.jpg,1,1,0.03430176,0.69775391,0.00651932,0.01059723,0.00327301,0.00288773,0.06112671,0.00612640,0.00540161,0.06085205,0.00465012,0.02056885,0.00888062,0.00484085,0.01660156,0.00513458,0.00696945,0.00607300,0.00388527,0.00753021,0.00923920,0.01305389,0.00382614
Seborrheic Keratoses and other Benign Tumors/pilar-cyst-37.jpg,16,16,0.00519943,0.00438690,0.00396347,0.00762939,0.00751877,0.00568008,0.00614548,0.01875305,0.00591660,0.01432037,0.00638580,0.29638672,0.01597595,0.00647736,0.00516891,0.00384712,0.53662109,0.00380325,0.00599670,0.01078033,0.01507568,0.00821686,0.00558853
Eczema Photos/eczema-impetiginized-8.jpg,5,5,0.01424408,0.00538635,0.28198242,0.00453186,0.00607681,0.56835938,0.00360680,0.01016998,0.00636292,0.00506592,0.00408554,0.00828552,0.01019287,0.02061462,0.01000977,0.00386238,0.00584030,0.00577164,0.00448227,0.00559616,0.00522232,0.00493622,0.00509644
Scabies Lyme Disease and other Infestations and Bites/biting-insects-1.jpg,15,15,0.00422668,0.00672913,0.00763321,0.00602341,0.01190186,0.00696945,0.01257324,0.00574875,0.00477600,0.00770569,0.00257874,0.01591492,0.00247955,0.00308037,0.00753021,0.59033203,0.00691986,0.00624466,0.00387955,0.06854248,0.00587845,0.14782715,0.06433105
Tinea Ringworm Candidiasis and other Fungal Infections/tinea-foot-webs-55.jpg,18,18,0.00359154,0.01365662,0.01104736,0.00457001,0.00436783,0.00875092,0.00575256,0.00706482,0.00466537,0.00550079,0.00366020,0.00766754,0.00868225,0.00885010,0.02238464,0.00543976,0.00785065,0.00570297,0.83105469,0.00743866,0.00548935,0.01144409,0.00527954
Eczema Photos/eczema-asteatotic-38.jpg,5,5,0.00471878,0.00301552,0.00467300,0.00280952,0.00189972,0.81884766,0.00378609,0.00664902,0.00522232,0.00505447,0.00728607,0.00658035,0.03247070,0.00365448,0.04562378,0.00253296,0.00771332,0.00197029,0.00525284,0.00791931,0.00648499,0.01042938,0.00526428
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratosis-irritated-107.jpg,16,16,0.00471497,0.00310516,0.00214005,0.00255966,0.00198555,0.00317001,0.00311279,0.00453949,0.00163364,0.00357819,0.00245857,0.03323364,0.00382614,0.00286865,0.00332832,0.00296402,0.89746094,0.00332642,0.00299644,0.00295067,0.00526428,0.00278854,0.00591278
Warts Molluscum and other Viral Infections/warts-immunocompromised-5.jpg,22,1,0.01097870,0.35668945,0.10479736,0.00180817,0.00878906,0.03048706,0.00666428,0.01171112,0.00319481,0.00833130,0.00790405,0.00312805,0.01212311,0.00482559,0.00429916,0.00501633,0.16320801,0.01066589,0.00454330,0.00857544,0.00558090,0.00626373,0.22058105
Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Oral-32.jpg,14,14,0.00192547,0.03005981,0.00287056,0.00752258,0.00237656,0.00410080,0.00384140,0.00603867,0.01222992,0.00334167,0.01766968,0.01377106,0.00524139,0.00340271,0.83984375,0.00329018,0.00291634,0.00721741,0.00354767,0.00387383,0.00498962,0.00176811,0.01818848
Seborrheic Keratoses and other Benign Tumors/keratoacanthoma-8.jpg,16,16,0.00316048,0.01130676,0.00283241,0.00390625,0.00287628,0.00730896,0.00253487,0.00439835,0.00265312,0.00203323,0.00270844,0.00273895,0.00263786,0.00291252,0.00276756,0.00168610,0.91357422,0.00575638,0.00474548,0.00310135,0.00191021,0.00329208,0.00907135
Hair Loss Photos Alopecia and other Hair Diseases/trichotillomania-12.jpg,7,18,0.01113129,0.00713730,0.01588440,0.00611115,0.00567627,0.00204659,0.01326752,0.35302734,0.00859833,0.00998688,0.00597763,0.00585556,0.01142883,0.00636673,0.00486755,0.00474930,0.00622559,0.00614548,0.49096680,0.00594330,0.00749969,0.00428391,0.00683212
Acne and Rosacea Photos/perioral-dermatitis-22.jpg,0,0,0.86962891,0.01042938,0.00197601,0.00309753,0.00561523,0.00399780,0.00260162,0.00492859,0.00410080,0.01071167,0.00142860,0.00371361,0.00416946,0.00316048,0.00468826,0.00252342,0.01149750,0.00362015,0.01187897,0.00440216,0.00368118,0.00229836,0.02584839
Hair Loss Photos Alopecia and other Hair Diseases/androgenic-alopecia-women-5.jpg,7,7,0.00337029,0.01515198,0.00268555,0.01136017,0.00329590,0.00961304,0.00469208,0.87646484,0.00254631,0.00486755,0.01303101,0.00253677,0.00518036,0.00275040,0.00438309,0.00740051,0.00223923,0.00618362,0.00358582,0.00276375,0.00429535,0.00674057,0.00469208
Light Diseases and Disorders of Pigmentation/sun-damaged-skin-75.jpg,9,9,0.00509644,0.01508331,0.00395966,0.00196266,0.00274467,0.02819824,0.00730133,0.00503922,0.00472260,0.83544922,0.00463867,0.00299644,0.00403595,0.00336075,0.00252533,0.00680542,0.02973938,0.00265503,0.00693130,0.00710297,0.00553131,0.00891113,0.00502396
Eczema Photos/eczema-fingertips-122.jpg,5,5,0.00539017,0.00289726,0.01840210,0.00545502,0.00564194,0.85595703,0.00527573,0.00630188,0.01022339,0.00498581,0.00437927,0.00909424,0.00814819,0.00395203,0.00730133,0.00705719,0.00556183,0.00429535,0.00371552,0.00854492,0.00565720,0.00638199,0.00555038
Warts Molluscum and other Viral Infections/herpes-zoster-177.jpg,22,1,0.00737762,0.49096680,0.01390839,0.02226257,0.00533295,0.14794922,0.00878906,0.03170776,0.00502396,0.02563477,0.00282860,0.01392365,0.01151276,0.00979614,0.03335571,0.03192139,0.01113892,0.00353241,0.08795166,0.00923157,0.00530243,0.01497650,0.00560379
Vasculitis Photos/vasculitis-73.jpg,21,21,0.00315285,0.01277924,0.00354195,0.00226212,0.00150585,0.03007507,0.00200272,0.00503159,0.00760651,0.00331497,0.00299263,0.00307274,0.01591492,0.00445938,0.01570129,0.00433731,0.00648117,0.00580215,0.00300980,0.00327301,0.00557709,0.84863281,0.00968170
Scabies Lyme Disease and other Infestations and Bites/scabies-128.jpg,15,4,0.00473785,0.03811646,0.01676941,0.08923340,0.53759766,0.01116180,0.00479889,0.00638199,0.00536728,0.00790405,0.00187492,0.01385498,0.00408554,0.00894165,0.05059814,0.02859497,0.06549072,0.01246643,0.05203247,0.00191212,0.01111603,0.01800537,0.00904083
Herpes HPV and other STDs Photos/genital-warts-126.jpg,8,8,0.00425339,0.00551987,0.00513077,0.00403595,0.00536346,0.00556946,0.00455475,0.00499344,0.89355469,0.00334549,0.00569916,0.00471115,0.00589752,0.00506210,0.00377274,0.00403214,0.00361633,0.00410080,0.00542068,0.00601959,0.00518417,0.00651932,0.00380898
Seborrheic Keratoses and other Benign Tumors/seborrheic-keratoses-smooth-94.jpg,16,16,0.00289917,0.00695038,0.00390434,0.00411224,0.00483704,0.00413132,0.00359535,0.00473785,0.00322533,0.00349998,0.00369835,0.00682449,0.00380516,0.00518799,0.00496674,0.00273514,0.90283203,0.00343895,0.00344658,0.00558853,0.00653839,0.00556946,0.00328064
Seborrheic Keratoses and other Benign Tumors/dermatofibroma-74.jpg,16,16,0.00442505,0.00505829,0.00276756,0.00271797,0.00817871,0.01153564,0.00204277,0.00512314,0.00191307,0.00222015,0.00377274,0.00897980,0.00361633,0.00235176,0.00595093,0.00264359,0.90576172,0.00444031,0.00295830,0.00258827,0.00365257,0.00592804,0.00124741
Nail Fungus and other Nail Disease/distal-subungual-onychomycosis-347.jpg,12,12,0.00638580,0.00485229,0.01121521,0.00642776,0.00198364,0.01126099,0.00268173,0.00450134,0.00367928,0.00351524,0.00432968,0.00302315,0.80126953,0.00431442,0.01194000,0.00358391,0.00374222,0.01002502,0.00469971,0.00342369,0.00369263,0.00570679,0.08380127
